arm,chars,elapsed_s,has_speech,is_scratchpad,paragraph_breaks,prompt,register,sample,sentences_per_100_words,served_model,words
shipped,1883,40.408,0,0,0,question,neutral,1,0.0,qwen38-27B-awq,248
half,462,29.474,1,0,3,question,neutral,1,9.474,qwen38-27B-awq,95
off,468,55.86,1,0,2,question,neutral,1,10.526,qwen38-27B-awq,95
shipped,1865,63.037,0,0,0,banter,light,1,1.322,qwen38-27B-awq,227
half,494,29.537,1,0,1,banter,light,1,6.383,qwen38-27B-awq,94
off,1923,30.771,1,0,10,banter,light,1,23.077,qwen38-27B-awq,338
shipped,3901,31.182,1,0,0,standoff,tense,1,1.015,qwen38-27B-awq,591
half,5761,35.65,0,0,0,standoff,tense,1,0.115,qwen38-27B-awq,869
off,485,11.553,1,0,4,standoff,tense,1,11.65,qwen38-27B-awq,103
shipped,512,15.876,1,0,3,grief,grave,1,3.704,qwen38-27B-awq,108
half,2969,18.926,1,0,2,grief,grave,1,0.914,qwen38-27B-awq,547
off,1179,12.767,1,0,7,grief,grave,1,9.266,qwen38-27B-awq,259
shipped,2295,18.688,1,0,3,alone,neutral,1,1.096,qwen38-27B-awq,365
half,368,14.141,1,0,2,alone,neutral,1,5.063,qwen38-27B-awq,79
off,545,11.255,1,0,4,alone,neutral,1,9.565,qwen38-27B-awq,115
shipped,6641,30.987,1,0,0,question,neutral,2,1.416,qwen38-27B-awq,918
half,785,12.522,1,0,3,question,neutral,2,4.938,qwen38-27B-awq,162
off,405,11.171,1,0,3,question,neutral,2,10.465,qwen38-27B-awq,86
shipped,2134,20.534,1,0,1,banter,light,2,0.315,qwen38-27B-awq,317
half,497,12.515,1,0,3,banter,light,2,5.155,qwen38-27B-awq,97
off,436,11.189,1,0,2,banter,light,2,8.889,qwen38-27B-awq,90
shipped,1277,17.51,1,0,1,standoff,tense,2,0.0,qwen38-27B-awq,197
half,2812,18.894,0,0,0,standoff,tense,2,0.189,qwen38-27B-awq,530
off,502,11.369,1,0,2,standoff,tense,2,10.377,qwen38-27B-awq,106
shipped,472,13.888,1,0,2,grief,grave,2,3.093,qwen38-27B-awq,97
half,496,13.776,1,0,2,grief,grave,2,5.556,qwen38-27B-awq,108
off,372,11.583,1,0,2,grief,grave,2,9.877,qwen38-27B-awq,81
shipped,849,15.934,1,0,2,alone,neutral,2,1.274,qwen38-27B-awq,157
half,4547,21.62,0,0,2,alone,neutral,2,0.245,qwen38-27B-awq,815
off,429,11.097,1,0,2,alone,neutral,2,10.465,qwen38-27B-awq,86
